,title,price1,price2,discountprice,free,alltime_reviews_summary,number_alltime_reviews,developer,publisher,recent_review_summary,number_recent_reviews,genre,release_date,tags,update_count
67,Dwarves & Dungeons,,,,,,(15 reviews),ColorfulMaxtrix,ColorfulMaxtrix,Positive,,"TITLE: Dwarves & Dungeons
GENRE: Adventure, Casual, Indie, RPG, Strategy, Early Access
DEVELOPER: ColorfulMaxtrix
PUBLISHER: ColorfulMaxtrix
RELEASE DATE: 19 Nov, 2020
EARLY ACCESS RELEASE DATE: 19 Nov, 2020","19 Nov, 2020",Early Access Casual Adventure Match 3 2D +,
68,HOUSE OF GOD,,,,,,(39 reviews),Glass Revolver,Glass Revolver,Positive,,"TITLE: HOUSE OF GOD
GENRE: Action, Indie
DEVELOPER: Glass Revolver
PUBLISHER: Glass Revolver
RELEASE DATE: 2 Dec, 2020","2 Dec, 2020",Action Roguelike Shooter Action Roguelike +,
69,hocus 2,,,,,,(19 reviews),Yunus Ayyildiz,Yunus Ayyildiz,Positive,,"TITLE: hocus 2
GENRE: Casual, Indie
DEVELOPER: Yunus Ayyildiz
PUBLISHER: Yunus Ayyildiz
RELEASE DATE: 3 Mar, 2021","3 Mar, 2021",Casual Puzzle Isometric Minimalist Logic +,
70,Flying Hero X,,,,,,(15 reviews),Red Android,Red Android,Positive,,"TITLE: Flying Hero X
GENRE: Action, Adventure, Indie, Simulation
DEVELOPER: Red Android, EpiXR Games UG
PUBLISHER: Red Android, EpiXR Games UG
RELEASE DATE: 18 Dec, 2020","18 Dec, 2020",Simulation Action Flight Superhero Cats +,
71,Mini War - Three Kingdoms,,,,,,(16 reviews),YangZeyu,YangZeyu,Positive,,"TITLE: Mini War - Three Kingdoms
GENRE: Casual, Indie, Strategy
DEVELOPER: YangZeyu
PUBLISHER: YangZeyu
RELEASE DATE: 30 Nov, 2020","30 Nov, 2020",Strategy Tactical RPG Minimalist Clicker +,
72,Ms.Director,,,,,,(27 reviews),SketchyNonsense,SketchyNonsense,Positive,,"TITLE: Ms.Director
GENRE: Adventure, Indie
DEVELOPER: SketchyNonsense
PUBLISHER: SketchyNonsense
RELEASE DATE: 17 May, 2021","17 May, 2021",Horror Investigation 2D Noir Historical +,
73,VR RETRO SNAKE ON GIRLS,"1,59€",,,,,(10 reviews),VR RETRO REMASTER,VR RETRO REMASTER,Positive,,"TITLE: VR RETRO SNAKE ON GIRLS
GENRE: Casual
DEVELOPER: VR RETRO REMASTER
PUBLISHER: VR RETRO REMASTER
RELEASE DATE: 19 Apr, 2021","19 Apr, 2021",Casual Idler Immersive Sim Clicker VR +,
74,Explosive Candy World,,,,,,(16 reviews),Marcos Game Dev,Marcos Game Dev,Positive,,"TITLE: Explosive Candy World
GENRE: Action, Adventure, Indie
DEVELOPER: Marcos Game Dev, Brabo Game Creations
PUBLISHER: Marcos Game Dev, Brabo Game Creations
RELEASE DATE: 15 Sep, 2021","15 Sep, 2021",Precision Platformer Platformer Funny Physics +,
75,Dudes on a Map: Virtual Grid Paper,,,,,,(23 reviews),Big Sky Software LLC,Big Sky Software LLC,Positive,,"TITLE: Dudes on a Map: Virtual Grid Paper
GENRE: Adventure, RPG, Early Access
DEVELOPER: Big Sky Software LLC
PUBLISHER: Big Sky Software LLC
RELEASE DATE: 20 Apr, 2021
EARLY ACCESS RELEASE DATE: 6 May, 2021","20 Apr, 2021",Early Access Tabletop Tactical RPG RPG +,17.0
76,Terrene - An Evidence Of Life Game,,,,,,(18 reviews),Albatross Wirehead,JustWall Wirehead Games,Positive,,"TITLE: Terrene - An Evidence Of Life Game
GENRE: Action, Adventure, Indie
DEVELOPER: Albatross Wirehead, JustWall Games
PUBLISHER: JustWall Wirehead Games
RELEASE DATE: 12 Feb, 2021","12 Feb, 2021",Adventure Exploration Open World Metroidvania +,4.0
77,Hundred Chances - The Fortress,,,,,,(17 reviews),Kaká Gamer & Dev,Kaká Gamer & Dev,Positive,,"TITLE: Hundred Chances - The Fortress
GENRE: Action, Adventure, Casual, Indie
DEVELOPER: Kaká Gamer & Dev
PUBLISHER: Kaká Gamer & Dev
RELEASE DATE: 8 Jan, 2021","8 Jan, 2021",Precision Platformer 2D Platformer Casual 2D +,
78,Habroxia 2,"8,99€",,,,,(15 reviews),Lillymo Games,Lillymo Games,Positive,,"TITLE: Habroxia 2
GENRE: Action, Indie
DEVELOPER: Lillymo Games
PUBLISHER: Lillymo Games
FRANCHISE: Lillymo Games
RELEASE DATE: 3 Feb, 2021","3 Feb, 2021",Action Arcade Shooter Shoot 'Em Up 2D +,
79,Mambo Wave,,,,,,(17 reviews),Game Breaker Studios,HaDe Games,Positive,,"TITLE: Mambo Wave
GENRE: Action, Adventure, Casual, Indie
DEVELOPER: Game Breaker Studios
PUBLISHER: HaDe Games
RELEASE DATE: 8 Jan, 2021","8 Jan, 2021",Action Casual Platformer 2D Platformer 2D +,
80,The Legion of Maelstrom,,,,,,(12 reviews),Andrew R.,Andrew R.,Positive,,"TITLE: The Legion of Maelstrom
GENRE: Adventure, Casual, RPG, Strategy
DEVELOPER: Andrew R.
PUBLISHER: Andrew R.
RELEASE DATE: 24 May, 2021","24 May, 2021",RPG Retro Adventure Strategy JRPG 2D +,
81,Return of the Heir,Bundle info,,,,,(13 reviews),Prime Bit Games SA,Prime Bit Games SA,Positive,,"TITLE: Return of the Heir
GENRE: Adventure
DEVELOPER: Prime Bit Games SA
PUBLISHER: Prime Bit Games SA
RELEASE DATE: 16 Dec, 2020","16 Dec, 2020",2D Platformer Archery Platformer 2D Linear +,
